Acclimation;lowerTmin;Tmin;upperTmin;SDTmin;lowerTopt;Topt;upperTopt;SDTopt;lowerTmax;Tmax;upperTmax;SDTmax;lowerTbr;Tbr;upperTbr;SDTbr;lowerRmax;Rmax;upperRmax;SDRmax
18;11.39;12.33;12.71;a;26.66;28.66;31.11;d;44.987;44.998;45.003;e;17.69;21.52;23.71;a;1.102;1.185;1.245;ab
25;12.76;12.959;12.995;b;26.74;28.38;29.89;d;47.92;47.99;48.01;f;15.76;17.05;19.58;a;1.24;1.31;1.36;b
32;12.67;13.28;13.94;ab;31.37;32.02;33.28;c;47.86;47.98;48.06;f;15.02;15.42;15.76;a;1.048;1.151;1.221;a
