Acclimation;lowerTmin;Tmin;upperTmin;SDTmin;lowerTopt;Topt;upperTopt;SDTopt;lowerTmax;Tmax;upperTmax;SDTmax;lowerTbr;Tbr;upperTbr;SDTbr;lowerRmax;Rmax;upperRmax;SDRmax
18;8.47;12.39;15.09;a;28.55;30.28;31.8;b;45.46;48.17;55.26;d;8.6;9.78;12.04;b;2643.76;3301.44;3755.86;a
25;14.49;16.58;18.47;a;29.02;29.85;30.68;b;40.64;43.13;45.43;cd;6.1;7.25;8.36;a;3281.45;3914.52;5021.52;a
32;11.45;15.55;18.29;a;29.07;30.46;32.07;b;40.18;45.36;50.65;c;6.3;8.18;10.92;ab;2154.43;2806.86;3936.61;a
