Temp;Distance_travelled
13;0.0
13;0.0
13;0.0
13;0.31941
13;0.0
13;0.0
13;0.0
13;0.0
13;0.0
13;0.0
13;0.0
13;0.0
13;0.0
13;0.0
13;0.0
13;0.0
13;0.0
13;0.0
13;0.0
13;0.9889393
18;103.1191
18;0.0
18;12.02254
18;24.33562
18;12.87089
18;95.73425
18;0.0
18;521.7524
18;9.090436
18;512.6808
18;231.1913
18;229.674
18;201.3736
18;220.9207
18;182.5046
18;12.3987
18;22.50928
18;231.2695
18;3392.986
18;46.83131
23;96.64825
23;131.0971
23;11.17902
23;1005.805
23;152.5415
23;235.9003
23;3567.652
23;5711.206
23;402.0847
23;1288.25769
23;1793.425
23;515.452
23;2632.039
23;1117.904
23;769.3577
23;818.4748
23;2.453413
23;362.8968
23;664.8148
23;116.5876
28;2150.88
28;3531.784
28;2323.245
28;3316.708
28;1601.742
28;7445.281
28;2470.994
28;6658.038
28;2511.507
28;9055.754
28;3677.158
28;896.7035
28;1564.137
28;967.6031
28;1993.27
28;3112.223
28;1903.909
28;3274.728
28;1275.174
28;704.3562
33;243.7635
33;1003.573
33;206.9066
33;238.9336
33;90.47794
33;3571.124
33;2820.092
33;1588.652
33;1234.133
33;2075.034
33;2222.494
33;2907.71
33;5175.048
33;2206.246
33;3296.565
33;3086.463
33;1975.872
33;1444.361
33;3314.378
33;3693.604
38;144.1531
38;934.05553
38;860.5803
38;1397.899
38;1360.669
38;2429.99
38;753.6996
38;3652.94
38;1155.615
38;196.6375
38;1540.156
38;2776.419
38;2438.472
38;2419.134
38;1514.945
38;1565.157
38;527.311
38;2259.654
38;1596.82
38;2593.46
