Temp;Distance_travelled
13;0.0
13;0.0
13;0.0
13;25.25208
13;0.0
13;0.0
13;0.0
13;0.0
13;0.0
13;0.0
13;0.0
13;0.0
13;0.0
13;0.0
13;0.0
13;0.0
13;0.0
13;0.0
13;0.0
13;0.0
18;633.7958
18;334.1574
18;421.9484
18;0.0
18;254.3342
18;490.5191
18;613.2335
18;77.49775
18;278.1304
18;0.0
18;758.5138
18;783.342
18;569.3035
18;654.9617
18;333.5997
18;513.8179
18;368.6235
18;423.4793
18;427.9662
18;271.2805
23;1368.168
23;1991.429
23;1730.938
23;1750.728
23;3027.749
23;5138.109
23;2971.323
23;4213.555
23;1743.747
23;225.7816
23;329.4845
23;1288.3476
23;615.7326
23;2.336296
23;1666.78
23;477.0577
23;1427.723
23;964.5851
23;1645.398
23;1491.068
28;1435.328
28;7198.79
28;3480.107
28;10490.0464
28;4604.375
28;8071.3697
28;1966.107
28;5575.191
28;944.769
28;3083.845
28;1980.126
28;2169.0451
28;2831.081
28;2914.932
28;3958.029
28;3452.416
28;2343.621
28;3414.136
28;2763.929
28;2317.515
33;3847.003
33;7041.131
33;2968.36
33;2326.198
33;4617.135
33;1785.92
33;2214.129
33;3221.515
33;3629.927
33;2394.121
33;2710.314
33;2068.354
33;2603.399
33;5723.56
33;3475.06
33;4944.859
33;93.56329
33;4218.992
33;1759.262
33;3432.521
38;0.0
38;1398.244
38;364.821
38;1878.507
38;507.8414
38;1024.514
38;438.3701
38;2570.223
38;1585.81
38;1434.987
38;660.323
38;1649.562
38;1555.924
38;2396.386
38;986.2567
38;1719.597
38;1443.076
38;1943.76
38;1438.525
38;1188.4171
