Temp;Average_speed
13;0.022696697
13;0.064150898
13;0.0000000000000316
13;0.236043345
13;0.0000000000000292
13;0.124985465
13;0.027390385
13;0.00000000000002
13;0.05511259
13;0.426309147
13;0.048397525
13;0.239914045
13;0.18161863
13;0.128339348
13;0.08045656
13;0.181485491
13;0.18636843
13;0.000000000000057
13;0.130086546
13;0.116842245
18;0.962384221
18;0.880484511
18;0.245018431
18;0.636273915
18;0.864556788
18;0.469553626
18;0.922424443
18;1.306306143
18;1.065003862
18;2.013529064
18;0.297064071
18;0.6300739
18;0.518136768
18;0.922941601
18;0.624176066
18;0.434481328
18;0.385446837
18;0.085096891
18;0.800227843
18;0.489124544
23;0.638170489
23;0.557752101
23;0.408599224
23;2.724780623
23;0.394616236
23;4.524261979
23;1.370402244
23;0.895159863
23;0.650874534
23;0.542496272
23;1.823865448
23;0.684594057
23;0.551802004
23;0.442758321
23;0.397887899
23;1.211163926
23;0.69352611
23;1.172147737
23;1.234780155
23;1.037907172
28;2.968309307
28;1.847362707
28;1.888068451
28;2.198333705
28;0.583956302
28;1.414335148
28;0.528654273
28;1.238603669
28;1.796390643
28;1.796390643
28;0.059160287
28;1.583893045
28;2.104966655
28;1.358070912
28;1.353143875
28;1.858145294
28;0.591060239
28;1.708422165
28;2.138715169
28;1.881423
33;0.745940411
33;2.832310067
33;2.376445253
33;1.543354322
33;1.829621917
33;2.261896894
33;1.497949775
33;1.900885166
33;1.614701293
33;1.42868467
33;1.095437735
33;0.419648949
33;0.741373233
33;2.22492414
33;0.747199772
33;2.573575467
33;1.224951691
33;0.644256684
33;2.002707978
33;1.64521711
38;0.476568113
38;0.837125066
38;0.819757437
38;0.410175156
38;1.148041378
38;0.474973178
38;0.785427221
38;0.835331389
38;0.803716826
38;0.72465744
38;0.848094258
38;0.621023658
38;1.182720094
38;1.926576485
38;1.469883664
38;2.471747351
38;0.742179975
38;0.889507507
38;0.816274282
38;1.128673484
