Column1;param;conf_lower;conf_upper;method;estimate
1;rmax;1.20166622901136;1.95154308188298;case bootstrap;1.45737093547495
2;topt;28.6623494717079;31.6618925849452;case bootstrap;30.191
3;ctmin;9.62314978350816;16.1840758456275;case bootstrap;13.372
4;ctmax;39.894609830336;51.6856103088991;case bootstrap;47.01
5;e;0.882874555022258;1.70731892395361;case bootstrap;1.29636446488908
6;eh;-0.167077026048252;1.04377906194089;case bootstrap;0.360804532057857
7;q10;3.20391147592372;9.30498354963026;case bootstrap;5.52319931641218
8;thermal_safety_margin;12.3799270069337;20.3346163924419;case bootstrap;16.819
9;thermal_tolerance;24.758747354922;40.6692050283118;case bootstrap;33.638
10;breadth;6.79669956075353;11.079201240333;case bootstrap;9.186
11;skewness;0.0505427249738223;1.67189027586455;case bootstrap;0.93555993283122
