Temp;Average_speed
13;0.0000000000000292
13;0.00000000000008
13;0.0000000000000316
13;0.07882086
13;0.0000000000000566
13;0.0000000000000632
13;0.097189715
13;0.088744084
13;0.00000000000004
13;0.0000000000000316
13;0.0000000000000516
13;0.0000000000000196
13;0.00000000000002
13;0.037238688
13;0.0000000000000631
13;0.000000000000295
13;0.000000000000121
13;0.000000000000081
13;0.00000000000002
13;0.026953993
18;0.27043366
18;0.00000000000004
18;0.009505672
18;0.104162388
18;0.181368761
18;0.331386607
18;0.000000000000126
18;0.450011867
18;0.173647345
18;0.390321062
18;0.432784186
18;0.570857591
18;0.398837275
18;0.343695848
18;0.378021376
18;0.160566782
18;0.18702538
18;0.427087258
18;1.796390643
18;0.070237467
23;0.129606467
23;0.199069106
23;0.404668666
23;0.725630621
23;0.106995118
23;0.211229547
23;1.77341821
23;2.816561935
23;0.468954811
23;0.869870252
23;1.071073199
23;0.369648093
23;1.419773613
23;0.806564962
23;0.684495309
23;0.717026124
23;0.146588043
23;0.36136095
23;0.600209865
23;0.33144548
28;1.277629677
28;1.818444437
28;1.32184224
28;1.779198396
28;0.927572295
28;3.81328695
28;1.344012354
28;3.417033453
28;1.361596991
28;4.336402631
28;1.930817811
28;0.569282924
28;0.96244047
28;0.645084782
28;1.152687947
28;1.546519032
28;1.123762996
28;1.597473887
28;0.81226827
28;0.384082651
33;0.269022251
33;0.658314859
33;0.247967133
33;0.295583238
33;0.221686356
33;1.828503353
33;1.498878735
33;0.914933102
33;0.749394175
33;1.140581962
33;1.177313117
33;1.483410929
33;2.346383059
33;1.162768349
33;1.579122286
33;1.595503863
33;1.044440409
33;0.68197094
33;1.753960534
33;1.657577327
38;0.201979489
38;0.15719593
38;0.631585579
38;0.830061535
38;0.899581858
38;1.33356528
38;0.534258795
38;1.803345304
38;0.668451222
38;0.239518523
38;0.879128684
38;1.388234027
38;1.335366219
38;1.296180381
38;0.879202112
38;0.977709953
38;0.299541426
38;1.23448569
38;0.951336804
38;1.366677455
