Temp;Distance_travelled;Spread_rate
13;0.0;0
13;0.0;0
13;0.0;0
13;25.25208;2398,9476
13;0.0;0
13;0.0;0
13;0.0;0
13;0.0;0
13;0.0;0
13;0.0;0
13;0.0;0
13;0.0;0
13;0.0;0
13;0.0;0
13;0.0;0
13;0.0;0
13;0.0;0
13;0.0;0
13;0.0;0
13;0.0;0
18;633.7958;63379,58
18;334.1574;33415,74
18;421.9484;42194,84
18;0.0;0
18;254.3342;25433,42
18;490.5191;49051,91
18;613.2335;61323,35
18;77.49775;7749,775
18;278.1304;27813,04
18;0.0;0
18;758.5138;75851,38
18;783.342;78334,2
18;569.3035;56930,35
18;654.9617;65496,17
18;333.5997;33359,97
18;513.8179;51381,79
18;368.6235;36862,35
18;423.4793;42347,93
18;427.9662;42796,62
18;271.2805;27128,05
23;1368.168;123135,12
23;1991.429;179228,61
23;1730.938;155784,42
23;1750.728;157565,52
23;3027.749;272497,41
23;5138.109;462429,81
23;2971.323;267419,07
23;4213.555;379219,95
23;1743.747;156937,23
23;225.7816;20320,344
23;329.4845;29653,605
23;1288.3476;115951,284
23;615.7326;55415,934
23;2.336296;210,26664
23;1666.78;150010,2
23;477.0577;42935,193
23;1427.723;128495,07
23;964.5851;86812,659
23;1645.398;148085,82
23;1491.068;134196,12
28;1435.328;143532,8
28;7198.79;719879
28;3480.107;348010,7
28;10490.0464;1049004,64
28;4604.375;460437,5
28;8071.3697;807136,97
28;1966.107;196610,7
28;5575.191;557519,1
28;944.769;94476,9
28;3083.845;198012,6
28;1980.126;216904,51
28;2169.0451;283108,1
28;2831.081;291493,2
28;2914.932;395802,9
28;3958.029;345241,6
28;3452.416;234362,1
28;2343.621;341413,6
28;3414.136;276392,9
28;2763.929;231751,5
28;2317.515;308384,5
33;3847.003;346230,27
33;7041.131;633701,79
33;2968.36;267152,4
33;2326.198;209357,82
33;4617.135;415542,15
33;1785.92;160732,8
33;2214.129;199271,61
33;3221.515;289936,35
33;3629.927;326693,43
33;2394.121;215470,89
33;2710.314;243928,26
33;2068.354;186151,86
33;2603.399;234305,91
33;5723.56;515120,4
33;3475.06;312755,4
33;4944.859;445037,31
33;93.56329;8420,6961
33;4218.992;379709,28
33;1759.262;158333,58
33;3432.521;308926,89
38;0.0;0
38;1398.244;139824,4
38;364.821;36482,1
38;1878.507;187850,7
38;507.8414;50784,14
38;1024.514;102451,4
38;438.3701;43837,01
38;2570.223;257022,3
38;1585.81;158581
38;1434.987;143498,7
38;660.323;66032,3
38;1649.562;164956,2
38;1555.924;155592,4
38;2396.386;239638,6
38;986.2567;98625,67
38;1719.597;171959,7
38;1443.076;144307,6
38;1943.76;194376
38;1438.525;143852,5
38;1188.4171;118841,71
