Temp;Max_speed
8;0
8;0
8;0
8;0
8;0
8;0
8;0
8;0
8;0
8;0
8;0
8;0
8;0
8;0
8;0
8;0
8;0
8;0
8;0
8;0
13;0.0000000000000451126
13;0.000000000000123788
13;0.0000000000000489314
13;0.8092722
13;0.0000000000000875419
13;0.0000000000000978629
13;0.4607883
13;0.4227595
13;0.0000000000000618939
13;0.0000000000000489314
13;6.720756
13;0.000000000000030947
13;0.000000000000030947
13;0.5187735
13;0.0000000000000978629
13;0.000000000000495151
13;0.000000000000123777
13;0.000000000000123788
13;0.000000000000030947
13;0.217553
18;12.41832
18;0.0000000000000618939
18;3.706037
18;1.45671
18;1.125495
18;2.538104
18;0.000000000000195726
18;2.091797
18;0.9921872
18;2.281398
18;17.41603
18;1.177153
18;1.369499
18;1.321301
18;1.341993
18;2.549627
18;1.091859
18;2.414341
18;1.08326
18;1.270218
23;11.3242
23;10.70647
23;1.194891
23;7.372402
23;2.828541
23;3.713686
23;6.714184
23;14.54545
23;1.522339
23;12.15733
23;2.715286
23;3.012485
23;5.001641
23;2.046989
23;1.30333
23;2.269851
23;1.049208
23;3.211604
23;2.348466
23;1.759852
28;5.522033
28;5.687015
28;4.207477
28;4.410493
28;3.914921
28;12.71275
28;4.337485
28;9.855168
28;4.616067
28;17.46368
28;8.111913
28;11.19287
28;6.317994
28;4.335399
28;5.493078
28;4.301409
28;5.668111
28;7.65187
28;6.791308
28;7.217734
33;1.980147
33;6.47952
33;1.966068
33;8.064071
33;1.627025
33;11.13317
33;6.869323
33;4.109995
33;8.812416
33;12.55949
33;13.18888
33;9.407575
33;14.92803
33;11.12519
33;10.03665
33;8.265628
33;12.19363
33;10.00046
33;8.150137
33;12.81158
38;2.400872
38;37.56782
38;4.536941
38;3.92717
38;5.697743
38;7.61085
38;5.211501
38;8.169618
38;9.906135
38;2.787074
38;8.282998
38;11.18471
38;7.426673
38;13.56097
38;10.71369
38;4.479237
38;11.65409
38;10.22549
38;5.859127
38;16.60769
45;0
45;0
45;0
45;0
45;0
45;0
45;0
45;0
45;0
45;0
45;0
45;0
45;0
45;0
45;0
45;0
45;0
45;0
45;0
45;0
