",""param"",""conf_lower"",""conf_upper"",""method"",""estimate"""
"1,""rmax"",7.43516155938816,9.87540600489745,""case bootstrap"",8.92558947822813"
"2,""topt"",32.0523437089884,36.6420600350998,""case bootstrap"",34.275"
"3,""ctmin"",0,13.5785694093453,""case bootstrap"",10.68"
"4,""ctmax"",43.5200657314303,44.947824216045,""case bootstrap"",44.493"
"5,""e"",0.491669411764388,0.843307372380381,""case bootstrap"",0.654651336515341"
"6,""thermal_safety_margin"",8.35591657156572,14.0129555138993,""case bootstrap"",10.218"
"7,""thermal_tolerance"",30.7075748884051,44.734,""case bootstrap"",33.813"
"8,""breadth"",9.84392225729016,12.889,""case bootstrap"",10.826"
