Column1;param;conf_lower;conf_upper;method;estimate
1;rmax;1.07698743219094;1.22337659269331;case bootstrap;1.15096094226663
2;topt;30.2329279292427;33.9583267059458;case bootstrap;32.022
3;ctmin;12.7817290307407;13.8499532297367;case bootstrap;13.272
4;ctmax;47.8929455547886;48.0628310355241;case bootstrap;47.976
5;e;0.5917792784028;1.14533171433639;case bootstrap;0.942255771588159
6;eh;0.640869592161152;1.01986680047655;case bootstrap;0.821054510898882
7;q10;2.15255904123543;4.55975981303469;case bootstrap;3.48220336655726
8;thermal_safety_margin;14.0624395048477;17.9365040594123;case bootstrap;15.954
9;thermal_tolerance;34.0870983442341;35.2788659353063;case bootstrap;34.704
10;breadth;14.8367258480698;15.6491167122441;case bootstrap;15.397
11;skewness;-0.157136224258401;0.401304255776105;case bootstrap;0.121201260689277
