Temp;Spread_rate
13;0
13;0
13;0
13;0.1533168
13;0
13;0
13;0
13;0
13;0
13;0
13;0
13;0
13;0
13;0
13;0
13;0
13;0
13;0
13;0
13;0.474690864
18;445.474512
18;0
18;51.9373728
18;105.1298784
18;55.6022448
18;413.57196
18;0
18;2253.970368
18;39.27068352
18;2214.781056
18;998.746416
18;992.19168
18;869.933952
18;954.377424
18;788.419872
18;53.562384
18;97.2400896
18;999.08424
18;14657.69952
18;202.3112592
23;463.9116
23;629.26608
23;53.659296
23;4827.864
23;732.1992
23;1132.32144
23;17124.7296
23;27413.7888
23;1930.00656
23;6183.636912
23;8608.44
23;2474.1696
23;12633.7872
23;5365.9392
23;3692.91696
23;3928.67904
23;11.7763824
23;1741.90464
23;3191.11104
23;559.62048
28;10324.224
28;16952.5632
28;11151.576
28;15920.1984
28;7688.3616
28;35737.3488
28;11860.7712
28;31958.5824
28;12055.2336
28;43467.6192
28;17650.3584
28;4304.1768
28;7507.8576
28;4644.49488
28;9567.696
28;14938.6704
28;9138.7632
28;15718.6944
28;6120.8352
28;3380.90976
33;1170.0648
33;4817.1504
33;993.15168
33;1146.88128
33;434.294112
33;17141.3952
33;13536.4416
33;7625.5296
33;5923.8384
33;9960.1632
33;10667.9712
33;13957.008
33;24840.2304
33;10589.9808
33;15823.512
33;14815.0224
33;9484.1856
33;6932.9328
33;15909.0144
33;17729.2992
38;691.93488
38;4483.466544
38;4130.78544
38;6709.9152
38;6531.2112
38;11663.952
38;3617.75808
38;17534.112
38;5546.952
38;943.86
38;7392.7488
38;13326.8112
38;11704.6656
38;11611.8432
38;7271.736
38;7512.7536
38;2531.0928
38;10846.3392
38;7664.736
38;12448.608
