Temp;Acclimation;Age;Average_speed;Distance_travelled;Time_travelling;Weight_lost;Average_speed_log
13;18;7.57142857142857;0.022696697;49.49012;0.189596499756928;0.026;0.0097468533114262
13;18;7.57142857142857;0.064150898;6.931811;0.13542607125495;0.004;0.0270032158557351
13;18;7.57142857142857;0.0000000000000316;0.0;0.0;0.0110000000000001;1.36934500250565E-14
13;18;7.57142857142857;0.236043345;0.0;0.0;0.00700000000000012;0.092033700659148
13;18;7.57142857142857;0.0000000000000292;0.0;0.0;0.0110000000000001;1.27291225585032E-14
13;18;7.57142857142857;0.124985465;129.4681;1.41666666666667;0.002;0.0511469113264272
13;32;4.85714285714286;0.0000000000000292;0.0;0.0;0.002;1.27291225585032E-14
13;32;4.85714285714286;0.00000000000008;0.0;0.0;0.00099999999999989;3.47157887959169E-14
13;32;4.85714285714286;0.0000000000000316;0.0;0.0;0.00700000000000012;1.36934500250565E-14
13;32;7.71428571428571;0.07882086;0.31941;0.00625043405792097;0.0089999999999999;0.0329493353478782
13;32;7.71428571428571;0.0000000000000566;0.0;0.0;0.0189999999999999;2.45903503971081E-14
13;32;6.0;0.0000000000000632;0.0;0.0;0.0069999999999999;2.74833327967678E-14
13;25;7.71428571428571;0.000000000000057;0.0;0.0;0.0210000000000001;2.47832158904188E-14
13;25;7.71428571428571;0.00000000000008;0.0;0.0;0.0289999999999999;3.47157887959169E-14
13;25;7.71428571428571;0.0000000000000566;0.0;0.0;0.024;2.45903503971081E-14
13;25;6.0;0.007397683;25.25208;0.0895957771912761;0.012;0.00320094765185743
13;25;6.0;0.0000000000000316;0.0;0.0;0.0329999999999999;1.36934500250565E-14
13;25;6.0;0.0000000000000566;0.0;0.0;0.0389999999999999;2.45903503971081E-14
13;32;7.28571428571429;0.097189715;0.0;0.0;0.022;0.0402817278974192
13;32;7.28571428571429;0.088744084;0.0;0.0;0.04;0.0369258081597973
13;18;7.28571428571429;0.027390385;0.0;0.266648149434067;0.046;0.0117354969917999
13;18;7.28571428571429;0.00000000000002;0.0;0.0;0.0469999999999999;8.6789471989795E-15
13;32;4.85714285714286;0.00000000000004;0.0;0.0;0.012;1.73578943979588E-14
13;32;4.85714285714286;0.0000000000000316;0.0;0.0;0.0130000000000001;1.36934500250565E-14
13;32;4.85714285714286;0.0000000000000516;0.0;0.0;0.01;2.23723972240357E-14
13;32;4.85714285714286;0.0000000000000196;0.0;0.0;0.00800000000000001;8.48608170566884E-15
13;32;6.71428571428571;0.00000000000002;0.0;0.0;0.00300000000000011;8.6789471989795E-15
13;32;6.71428571428571;0.037238688;0.0;0.0;0.004;0.0158787071636107
13;32;6.71428571428571;0.0000000000000631;0.0;0.0;0.00900000000000012;2.73869000501125E-14
13;32;6.71428571428571;0.000000000000295;0.0;0.0;0.00700000000000012;1.28159120304913E-13
13;18;6.85714285714286;0.05511259;5.5763;1.29511491;0.028;0.0232988052325157
13;18;6.85714285714286;0.426309147;106.6291;1.83478951548848;0.026;0.154213667370606
13;18;6.85714285714286;0.048397525;8.62949;1.931323701;0.032;0.0205259870169212
13;18;6.85714285714286;0.239914045;2.2921;0.0437499999999999;0.0110000000000001;0.093391579455723
13;18;6.85714285714286;0.18161863;87.39297;0.15625;0.052;0.0724773296654493
13;18;6.85714285714286;0.128339348;7.858973;0.11875;0.048;0.0524397333351034
13;18;6.85714285714286;0.08045656;8.457245;1.966435074;0.018;0.0336073106625367
13;18;6.85714285714286;0.181485491;43.578336;1.04166666666667;0.0290000000000001;0.0724283927332393
13;18;6.85714285714286;0.18636843;87.74455;0.11875;0.024;0.0742195813284705
13;18;6.85714285714286;0.000000000000057;0.0;0.0;0.0129999999999999;2.47832158904188E-14
13;18;6.85714285714286;0.130086546;77.5438;5.10624999999999;0.0190000000000001;0.0531117045550505
13;18;6.85714285714286;0.116842245;119.9977;6.23333333333334;0.0310000000000001;0.0479918329504654
13;32;6.85714285714286;0.000000000000121;0.0;0.0;0.00800000000000001;5.2555846927151E-14
13;32;6.85714285714286;0.000000000000081;0.0;0.0;0.106;3.51979525291936E-14
13;32;6.85714285714286;0.00000000000002;0.0;0.0;0.0129999999999999;8.6789471989795E-15
13;32;6.85714285714286;0.026953993;0.9889393;0.0770833333333332;0.018;0.0115509878681817
13;25;5.0;0.0000000000000431;0.0;0.0;0.0089999999999999;1.87079528511334E-14
13;25;5.0;0.0000000279;0.0;0.0;0.00800000000000001;1.21168159142935E-08
13;25;5.0;0.00000000000002;0.0;0.0;0.00499999999999989;8.6789471989795E-15
13;25;5.0;0.00000000000002;0.0;0.0;0.00900000000000012;8.6789471989795E-15
13;25;5.0;0.00000000000002;0.0;0.0;0.0250000000000001;8.6789471989795E-15
13;25;5.0;0.0000000000000143;0.0;0.0;0.02;6.17169578594099E-15
13;25;5.0;0.0000000000000223;0.0;0.0;0.0249999999999999;9.64327466553276E-15
13;25;5.0;0.0000000000000283;0.0;0.0;0.0069999999999999;1.22469588252266E-14
13;25;6.85714285714286;0.0000000000000316;0.0;0.0;0.0149999999999999;1.36934500250565E-14
13;25;5.0;0.0000000000000292;0.0;0.0;0.0130000000000001;1.27291225585032E-14
13;25;5.14285714285714;0.0000000000000285;0.0;0.0;0.002;1.23433915718819E-14
13;25;5.14285714285714;0.00000000000000791;0.0;0.0;0.00299999999999989;3.47157887959182E-15
13;25;5.14285714285714;0.00000000000004;0.0;0.0;0.004;1.73578943979588E-14
13;25;5.14285714285714;0.0000000000000292;0.0;0.0;0.00499999999999989;1.27291225585032E-14
