Column1;param;conf_lower;conf_upper;method;estimate
1;rmax;2643.75552316261;3755.85511389948;case bootstrap;3301.4381139347
2;topt;28.5510086997574;31.8013511204404;case bootstrap;30.277
3;ctmin;8.46920271246835;15.0911414239531;case bootstrap;12.388
4;ctmax;45.4573990239841;55.2560539566335;case bootstrap;48.166
5;e;0.668553116407271;1.25732147989048;case bootstrap;0.938864345535974
6;eh;0.351352083659282;1.52329965609979;case bootstrap;0.97850139649671
7;q10;2.88692361933746;4.80731586099349;case bootstrap;3.46624570985302
8;thermal_safety_margin;15.7036631507582;22.8214474441713;case bootstrap;17.889
9;thermal_tolerance;31.406720662417;45.6438820350167;case bootstrap;35.778
10;breadth;8.5981115570079;12.042;case bootstrap;9.778
11;skewness;-0.593934677642303;0.749948970133651;case bootstrap;-0.0396370509607359
