Temp;Distance_travelled;Spread_rate
13;0.0;0
13;0.0;0
13;0.0;0
13;0.31941;31,941
13;0.0;0
13;0.0;0
13;0.0;0
13;0.0;0
13;0.0;0
13;0.0;0
13;0.0;0
13;0.0;0
13;0.0;0
13;0.0;0
13;0.0;0
13;0.0;0
13;0.0;0
13;0.0;0
13;0.0;0
13;0.9889393;98,89393
18;103.1191;10311,91
18;0.0;0
18;12.02254;1202,254
18;24.33562;2433,562
18;12.87089;1287,089
18;95.73425;9573,425
18;0.0;0
18;521.7524;52175,24
18;9.090436;909,0436
18;512.6808;51268,08
18;231.1913;23119,13
18;229.674;22967,4
18;201.3736;20137,36
18;220.9207;22092,07
18;182.5046;18250,46
18;12.3987;1239,87
18;22.50928;2250,928
18;231.2695;23126,95
18;3392.986;339298,6
18;46.83131;4683,131
23;96.64825;9664,825
23;131.0971;13109,71
23;11.17902;1117,902
23;1005.805;100580,5
23;152.5415;15254,15
23;235.9003;23590,03
23;3567.652;356765,2
23;5711.206;571120,6
23;402.0847;40208,47
23;1288.25769;128825,769
23;1793.425;179342,5
23;515.452;51545,2
23;2632.039;263203,9
23;1117.904;111790,4
23;769.3577;76935,77
23;818.4748;81847,48
23;2.453413;245,3413
23;362.8968;36289,68
23;664.8148;66481,48
23;116.5876;11658,76
28;2150.88;204333,6
28;3531.784;335519,48
28;2323.245;220708,275
28;3316.708;315087,26
28;1601.742;152165,49
28;7445.281;707301,695
28;2470.994;234744,43
28;6658.038;632513,61
28;2511.507;238593,165
28;9055.754;860296,63
28;3677.158;349330,01
28;896.7035;85186,8325
28;1564.137;148593,015
28;967.6031;91922,2945
28;1993.27;189360,65
28;3112.223;295661,185
28;1903.909;180871,355
28;3274.728;311099,16
28;1275.174;121141,53
28;704.3562;66913,839
33;243.7635;24376,35
33;1003.573;100357,3
33;206.9066;20690,66
33;238.9336;23893,36
33;90.47794;9047,794
33;3571.124;357112,4
33;2820.092;282009,2
33;1588.652;158865,2
33;1234.133;123413,3
33;2075.034;207503,4
33;2222.494;222249,4
33;2907.71;290771
33;5175.048;517504,8
33;2206.246;220624,6
33;3296.565;329656,5
33;3086.463;308646,3
33;1975.872;197587,2
33;1444.361;144436,1
33;3314.378;331437,8
33;3693.604;369360,4
38;144.1531;14415,31
38;934.05553;93405,553
38;860.5803;86058,03
38;1397.899;139789,9
38;1360.669;136066,9
38;2429.99;242999
38;753.6996;75369,96
38;3652.94;365294
38;1155.615;115561,5
38;196.6375;19663,75
38;1540.156;154015,6
38;2776.419;277641,9
38;2438.472;243847,2
38;2419.134;241913,4
38;1514.945;151494,5
38;1565.157;156515,7
38;527.311;52731,1
38;2259.654;225965,4
38;1596.82;159682
38;2593.46;259346
