Column1;param;conf_lower;conf_upper;method;estimate
1;rmax;2154.43083119076;3936.61069313367;case bootstrap;2806.86207179736
2;topt;29.0662031799338;32.0652649339826;case bootstrap;30.458
3;ctmin;11.4481630525243;18.2905759988216;case bootstrap;15.551
4;ctmax;40.178810515939;50.6456809703255;case bootstrap;45.364
5;e;1.06154046061;2.90507031623244;case bootstrap;1.67561423642997
6;eh;-0.196060020510333;1.11593798707746;case bootstrap;0.455941628952017
7;thermal_safety_margin;11.3528329911005;19.2832820701316;case bootstrap;14.906
8;thermal_tolerance;22.7066825960882;38.5666380026054;case bootstrap;29.813
9;breadth;6.29761592819481;10.9185339773978;case bootstrap;8.183
10;skewness;0.269779974696171;2.77510739979906;case bootstrap;1.21967260747796
